model,Price,Rating,SIM,RAM,Processor,Display,Camera,OS,SIM_Type,Supports_3G,Supports_4G,Supports_5G,VoLTE,WiFi,NFC,IR_Blaster,RAM_GB,Storage_GB,Chipset,Cores,ClockSpeed_GHz,Core_Word,Display_Size,Resolution,RefreshRate_Hz,Rear_Main_MP,Front_MP,Resolution_Width,Resolution_Height,Card_Support,Card_Capacity_GB,OS_Name,OS_Version
Realme 12 Pro 5G,19999,79.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 6 Gen1, Octa Core, 2.2 GHz Processor","6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 32 MP + 8 MP Triple Rear & 16 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 6 Gen1,8.0,2.2,Octa,6.7,1080 x 2412,120.0,50.0,16.0,1080.0,2412.0,Yes,14,No,14.0
Xiaomi 14 Ultra,99999,94.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","16 GB RAM, 512 GB inbuilt","Snapdragon 8 Gen3, Octa Core, 3.3 GHz Processor","6.73 inches, 1440 x 3200 px, 120 Hz Display with Punch Hole",50 MP Quad Rear & 32 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,1,16,512,Snapdragon 8 Gen3,8.0,3.3,Octa,6.73,1440 x 3200,120.0,50.0,32.0,1440.0,3200.0,Yes,14,No,14.0
Realme C55 (8GB RAM + 128GB),8808,77.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Helio G88, Octa Core, 2 GHz Processor","6.72 inches, 1080 x 2400 px, 90 Hz Display with Punch Hole",64 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v13,Dual Sim,1,1,0,1,1,0,0,8,128,Helio G88,8.0,2.0,Octa,6.72,1080 x 2400,90.0,64.0,8.0,1080.0,2400.0,Yes,1,Android,13.0
Samsung Galaxy A54 5G (8GB RAM + 256GB),33999,87.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 256 GB inbuilt","Exynos 1380, Octa Core, 2.4 GHz Processor","6.4 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 12 MP + 5 MP Triple Rear & 32 MP Front Camera,Android v13,Dual Sim,1,1,1,1,1,1,0,8,256,Exynos 1380,8.0,2.4,Octa,6.4,1080 x 2340,120.0,50.0,32.0,1080.0,2340.0,Yes,1,Android,13.0
Samsung Galaxy S23 (8GB RAM + 256GB),49999,86.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","8 GB RAM, 256 GB inbuilt","Snapdragon 8 Gen 2, Octa Core, 3.36 GHz Processor","6.1 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 12 MP + 10 MP Triple Rear & 12 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,0,8,256,Snapdragon 8 Gen 2,8.0,3.36,Octa,6.1,1080 x 2340,120.0,50.0,12.0,1080.0,2340.0,Yes,13,No,14.0
Motorola Moto G73,12999,82.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Dimensity 930, Octa Core, 2.2 GHz Processor","6.5 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,Android v13,Dual Sim,1,1,1,1,1,1,0,8,128,Dimensity 930,8.0,2.2,Octa,6.5,1080 x 2400,120.0,50.0,16.0,1080.0,2400.0,Yes,1,Android,13.0
Poco X6 5G,17999,79.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","8 GB RAM, 256 GB inbuilt","Snapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor","6.67 inches, 1220 x 2712 px, 120 Hz Display with Punch Hole",64 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,1,8,256,Snapdragon 7s Gen 2,8.0,2.4,Octa,6.67,1220 x 2712,120.0,64.0,16.0,1220.0,2712.0,Yes,13,No,14.0
OnePlus 11 5G,38999,85.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","6.7 inches, 1440 x 3216 px, 120 Hz Display with Punch Hole",50 MP + 48 MP + 32 MP Triple Rear & 16 MP Front Camera,Android v13,Dual Sim,1,1,1,1,1,1,0,8,128,Snapdragon 8 Gen2,8.0,3.2,Octa,6.7,1440 x 3216,120.0,50.0,16.0,1440.0,3216.0,No,0,Android,13.0
Realme GT Neo 3 5G (12GB RAM + 256GB),23990,82.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","12 GB RAM, 256 GB inbuilt","Dimensity  8100, Octa Core, 2.85 GHz Processor","6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,0,12,256,Dimensity  8100,8.0,2.85,Octa,6.7,1080 x 2412,120.0,50.0,16.0,1080.0,2412.0,Yes,12,No,14.0
Samsung Galaxy A54 5G,29990,86.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Exynos 1380, Octa Core, 2.4 GHz Processor","6.4 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 12 MP + 5 MP Triple Rear & 32 MP Front Camera,Android v13,Dual Sim,1,1,1,1,1,1,0,8,128,Exynos 1380,8.0,2.4,Octa,6.4,1080 x 2340,120.0,50.0,32.0,1080.0,2340.0,Yes,1,Android,13.0
POCO M4 Pro 4G (6GB RAM + 128GB),10990,77.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster","6 GB RAM, 128 GB inbuilt","Helio G96, Octa Core, 2.05 GHz Processor","6.43 inches, 1080 x 2400 px, 90 Hz Display with Punch Hole",64 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v11,Dual Sim,1,1,0,1,1,0,1,6,128,Helio G96,8.0,2.05,Octa,6.43,1080 x 2400,90.0,64.0,16.0,1080.0,2400.0,Yes,1,Android,11.0
Vivo T1 Pro,15084,79.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","6 GB RAM, 128 GB inbuilt","Snapdragon 778G, Octa Core, 2.4 GHz Processor","6.44 inches, 1080 x 2404 px, 90 Hz Display with Water Drop Notch",64 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v12,Dual Sim,1,1,1,1,1,0,0,6,128,Snapdragon 778G,8.0,2.4,Octa,6.44,1080 x 2404,90.0,64.0,16.0,1080.0,2404.0,Yes,1,Android,12.0
Xiaomi 11T Pro 5G (12GB RAM + 256GB),25990,86.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","12 GB RAM, 256 GB inbuilt","Snapdragon  888 , Octa Core, 2.84 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",108 MP + 8 MP + 5 MP Triple Rear & 16 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,1,12,256,Snapdragon  888 ,8.0,2.84,Octa,6.67,1080 x 2400,120.0,108.0,16.0,1080.0,2400.0,Yes,11,No,14.0
Vivo V23 Pro 5G (12GB RAM + 256GB),30890,85.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","12 GB RAM, 256 GB inbuilt","Dimensity 1200, Octa Core, 3 GHz Processor","6.56 inches, 1080 x 2376 px, 90 Hz Display with Small Notch",108 MP + 8 MP + 2 MP Triple Rear & 50 MP + 8 MP Dual Front Camera,Android v12,Dual Sim,1,1,1,1,1,0,0,12,256,Dimensity 1200,8.0,3.0,Octa,6.56,1080 x 2376,90.0,108.0,50.0,1080.0,2376.0,No,0,Android,12.0
Xiaomi Redmi Note 11 Pro Plus 5G,20999,81.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","6 GB RAM, 128 GB inbuilt","Snapdragon  695, Octa Core, 2.2 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",108 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v11,Dual Sim,1,1,1,1,1,0,1,6,128,Snapdragon  695,8.0,2.2,Octa,6.67,1080 x 2400,120.0,108.0,16.0,1080.0,2400.0,Yes,1,Android,11.0
Apple iPhone 13 (512GB),60900,78.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","4 GB RAM, 512 GB inbuilt","Bionic A15, Hexa Core, 3.22 GHz Processor","6.1 inches, 1170 x 2532 px Display with Small Notch",12 MP + 12 MP Dual Rear & 12 MP Front Camera,iOS v15,Dual Sim,1,1,1,1,1,1,0,4,512,Bionic A15,6.0,3.22,Hexa,6.1,1170 x 2532,,12.0,12.0,1170.0,2532.0,No,0,iOS,15.0
Samsung Galaxy S22 Plus 5G,40000,85.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Snapdragon  8 Gen1, Octa Core, 3 GHz Processor","6.6 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 12 MP + 10 MP Triple Rear & 10 MP Front Camera,Bluetooth,Dual Sim,1,1,1,1,1,1,0,8,128,Snapdragon  8 Gen1,8.0,3.0,Octa,6.6,1080 x 2340,120.0,50.0,10.0,1080.0,2340.0,Yes,12,Bluetooth,14.0
Motorola Moto G60,15999,82.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, NFC","6 GB RAM, 128 GB inbuilt","Snapdragon  732G, Octa Core, 2.3 GHz Processor","6.78 inches, 1080 x 2460 px, 120 Hz Display with Punch Hole",108 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,Android v11,Dual Sim,1,1,0,1,1,1,0,6,128,Snapdragon  732G,8.0,2.3,Octa,6.78,1080 x 2460,120.0,108.0,32.0,1080.0,2460.0,Yes,1,Android,11.0
Apple iPhone 13 Pro,119900,81.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","6 GB RAM, 128 GB inbuilt","Bionic A15, Hexa Core, 3.22 GHz Processor","6.1 inches, 1170 x 2532 px, 120 Hz Display with Large Notch",12 MP + 12 MP + 12 MP Triple Rear & 12 MP Front Camera,iOS v15.0,Dual Sim,1,1,1,1,1,1,0,6,128,Bionic A15,6.0,3.22,Hexa,6.1,1170 x 2532,120.0,12.0,12.0,1170.0,2532.0,No,0,iOS,15.0
Lava Shark 5G,7999,58.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","4 GB RAM, 64 GB inbuilt","Unisoc T765, Octa Core Processor","6.75 inches, 720 x 1600 px, 90 Hz Display with Punch Hole",13 MP Rear & 5 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,4,64,Unisoc T765,8.0,,Octa,6.75,720 x 1600,90.0,13.0,5.0,720.0,1600.0,Yes,1,Android,15.0
Samsung Galaxy F56 5G (8GB RAM + 256GB),30999,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 256 GB inbuilt","Exynos 1480, Octa Core, 2.7 GHz Processor","6.74 inches, 1080 x 2340 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 12 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,8,256,Exynos 1480,8.0,2.7,Octa,6.74,1080 x 2340,120.0,50.0,12.0,1080.0,2340.0,No,0,Android,15.0
Realme C75 5G (6GB RAM + 128GB),13999,72.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","6 GB RAM, 128 GB inbuilt","Dimensity 6300, Octa Core, 2.4 GHz Processor","6.67 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",32 MP Rear & 8 MP Front Camera,Android v15,Dual Sim,1,1,1,1,1,0,0,6,128,Dimensity 6300,8.0,2.4,Octa,6.67,720 x 1604,120.0,32.0,8.0,720.0,1604.0,Yes,0,Android,15.0
iKall I7 4G,1599,33.0,"Dual Sim, 3G, 4G, Wi-Fi","2 GB RAM, 16 GB inbuilt",512 MHz Processor,"2.4 inches, 240 x 320 px Display",0.3 MP Rear Camera,Bluetooth,Dual Sim,1,1,0,0,1,0,0,2,16,512 MHz Processor,,,,2.4,240 x 320,,3.0,,240.0,320.0,Yes,0,Bluetooth,14.0
Realme Narzo 80 Pro 5G (12GB RAM + 256GB),22498,81.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","12 GB RAM, 256 GB inbuilt","Dimensity 7400, Octa Core, 2.6 GHz Processor","6.72 inches, 1080 x 2392 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,0,12,256,Dimensity 7400,8.0,2.6,Octa,6.72,1080 x 2392,120.0,50.0,16.0,1080.0,2392.0,Yes,15,No,14.0
OPPO Reno 13 5G (12GB RAM + 512GB),41999,87.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","12 GB RAM, 512 GB inbuilt","Dimensity 8350, Octa Core, 3.35 GHz Processor","6.59 inches, 1256 x 2760 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 50 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,1,12,512,Dimensity 8350,8.0,3.35,Octa,6.59,1256 x 2760,120.0,50.0,50.0,1256.0,2760.0,Yes,15,No,14.0
Lava Action 4G,1753,79.44584647739222,"Dual Sim, 3G, 4G, VoLTE","1.8 inches, 240 x 260 px Display",1000 mAh Battery,Memory Card Supported,Bluetooth,,Dual Sim,1,1,0,1,0,0,0,0,0,1000 mAh Battery,,,,,,,,,,,Yes,0,,14.0
HMD 130 Music (2025),1883,79.44584647739222,Dual Sim,"8 MB RAM, 8 MB inbuilt",Unisoc 6531F,"2.4 inches, 240 x 320 px Display",No Rear Camera,S30+​,Dual Sim,0,0,0,0,0,0,0,0,0,Unisoc 6531F,,,,2.4,240 x 320,,,,240.0,320.0,Yes,32,S,30.0
Xiaomi Redmi 14C 5G (4GB RAM + 128GB),10498,72.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","4 GB RAM, 128 GB inbuilt","Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor","6.88 inches, 720 x 1640 px, 120 Hz Display with Water Drop Notch",50 MP Dual Rear & 8 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,4,128,Snapdragon 4 Gen2,8.0,2.2,Octa,6.88,720 x 1640,120.0,50.0,8.0,720.0,1640.0,Yes,1,Android,14.0
Snexian Bold T240,4499,34.0,"Dual Sim, 3G, 4G, Wi-Fi","2 GB RAM, 16 GB inbuilt","AMD, Quad Core, 512 MHz Processor","3 inches, 384 x 216 px Display",5 MP Rear & Main Front Camera,Android v10,Dual Sim,1,1,0,0,1,0,0,2,16,AMD,4.0,,Quad,3.0,384 x 216,,5.0,,384.0,216.0,Yes,0,Android,10.0
Infinix Smart 9 HD,6699,65.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi, IR Blaster","3 GB RAM, 64 GB inbuilt","Helio G50, Octa Core, 2.2 GHz Processor","6.7 inches, 720 x 1600 px, 90 Hz Display with Punch Hole",13 MP Rear & 8 MP Front Camera,Android v14,Dual Sim,1,1,0,1,1,0,1,3,64,Helio G50,8.0,2.2,Octa,6.7,720 x 1600,90.0,13.0,8.0,720.0,1600.0,Yes,1,Android,14.0
BlackZone WINX 4G Plus,3299,42.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","3 GB RAM, 16 GB inbuilt","Quad Core, 1 GHz Processor","2.8 inches, 480 x 640 px Display",5 MP Rear & 2 MP Front Camera,Android v11,Dual Sim,1,1,0,1,1,0,0,3,16,Quad Core,4.0,1.0,Quad,2.8,480 x 640,,5.0,2.0,480.0,640.0,Yes,64,Android,11.0
Samsung Galaxy Z Flip 7 FE 5G,89999,89.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC","8 GB RAM, 128 GB inbuilt","Exynos 2400, Octa Core, 3.2 GHz Processor","6.7 inches, 1080 x 2640 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",Memory Card Not Supported,Dual Sim,1,1,1,1,1,1,0,8,128,Exynos 2400,8.0,3.2,Octa,6.7,1080 x 2640,120.0,,,1080.0,2640.0,Yes,50,Memory,14.0
Realme 14 Pro Lite 5G,20999,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 7s Gen 2, Octa Core, 2.4 GHz Processor","6.7 inches, 1080 x 2412 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 32 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 7s Gen 2,8.0,2.4,Octa,6.7,1080 x 2412,120.0,50.0,32.0,1080.0,2412.0,Yes,14,No,14.0
HMD 110 4G (2024),2299,79.44584647739222,"Dual Sim, 3G, 4G",Unisoc T127,No Wifi,1450 mAh Battery,"2.4 inches, 240 x 320 px Display",S30+​,Dual Sim,1,1,0,0,0,0,0,0,0,No Wifi,,,,,,,,,,,Yes,32,S,30.0
Vivo Y300 Plus,20697,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 695, Octa Core, 2.2 GHz Processor","6.78 inches, 2400 x 1080 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 32 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 695,8.0,2.2,Octa,6.78,2400 x 1080,120.0,50.0,32.0,2400.0,1080.0,Yes,1,Android,14.0
Vivo T3 Ultra (12GB RAM + 256GB),31999,84.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","12 GB RAM, 256 GB inbuilt","Dimensity 9200 Plus, Octa Core, 3.35 GHz Processor","6.78 inches, 1260 x 2800 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 50 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,0,0,12,256,Dimensity 9200 Plus,8.0,3.35,Octa,6.78,1260 x 2800,120.0,50.0,50.0,1260.0,2800.0,Yes,14,No,14.0
Realme 13 Plus 5G (8GB RAM + 256GB),24999,83.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 256 GB inbuilt","Dimensity 7300 E, Octa Core, 2.5 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,1,0,8,256,Dimensity 7300 E,8.0,2.5,Octa,6.67,1080 x 2400,120.0,50.0,16.0,1080.0,2400.0,Yes,2,Android,14.0
Infinix Hot 50 5G,9999,74.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","4 GB RAM, 128 GB inbuilt","Dimensity 6300, Octa Core, 2.4 GHz Processor","6.7 inches, 720 x 1600 px, 120 Hz Display with Punch Hole",48 MP + Depth Sensor Dual Rear & 8 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,4,128,Dimensity 6300,8.0,2.4,Octa,6.7,720 x 1600,120.0,48.0,8.0,720.0,1600.0,Yes,1,Android,14.0
Oppo A3 5G 2024,13999,75.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","6 GB RAM, 128 GB inbuilt","Dimensity 6300, Octa Core, 2.4 GHz Processor","6.67 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",50 MP Dual Rear & 5 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,6,128,Dimensity 6300,8.0,2.4,Octa,6.67,720 x 1604,120.0,50.0,5.0,720.0,1604.0,Yes,2,Android,14.0
OnePlus Open 5G Apex Edition,149998,94.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","16 GB RAM, 1 TB inbuilt","Snapdragon 8 Gen2, Octa Core, 3.2 GHz Processor","7.82 inches, 2268 x 2440 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",Memory Card Not Supported,Dual Sim,1,1,1,1,1,1,1,16,0,Snapdragon 8 Gen2,8.0,3.2,Octa,7.82,2268 x 2440,120.0,,,2268.0,2440.0,Yes,64,Memory,14.0
OPPO K12x 5G (8GB RAM + 256GB),15944,76.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 256 GB inbuilt","Dimensity 6300, Octa Core, 2.4 GHz Processor","6.67 inches, 720 x 1604 px, 120 Hz Display with Punch Hole",32 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,8,256,Dimensity 6300,8.0,2.4,Octa,6.67,720 x 1604,120.0,32.0,8.0,720.0,1604.0,Yes,1,Android,14.0
OnePlus Nord 4 5G (12GB RAM + 256GB),30999,84.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC, IR Blaster","12 GB RAM, 256 GB inbuilt","Snapdragon 7+ Gen3, Octa Core, 2.8 GHz Processor","6.74 inches, 1240 x 2772 px, 120 Hz Display with Punch Hole",50 MP + 8 MP Dual Rear & 16 MP Front Camera,No FM Radio,Dual Sim,1,1,1,1,1,1,1,12,256,Snapdragon 7+ Gen3,8.0,2.8,Octa,6.74,1240 x 2772,120.0,50.0,16.0,1240.0,2772.0,Yes,14,No,14.0
Google Pixel 9 Pro Fold,134999,91.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","16 GB RAM, 256 GB inbuilt","Tensor G4, Octa Core, 3.1 GHz Processor","8.03 inches, 2152 x 2076 px, 120 Hz Display with Punch Hole","Foldable Display, Dual Display",Android v14,Dual Sim,1,1,1,1,1,1,0,16,256,Tensor G4,8.0,3.1,Octa,8.03,2152 x 2076,120.0,,,2152.0,2076.0,Yes,48,Android,14.0
Infinix Note 40X 5G,14999,83.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, NFC","8 GB RAM, 256 GB inbuilt","Dimensity 6300, Octa Core, 2.4 GHz Processor","6.78 inches, 1080 x 2406 px, 120 Hz Display with Punch Hole",108 MP + 2 MP Triple Rear & 8 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,1,0,8,256,Dimensity 6300,8.0,2.4,Octa,6.78,1080 x 2406,120.0,108.0,8.0,1080.0,2406.0,Yes,1,Android,14.0
Realme C61 (6GB RAM + 128GB),8499,71.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","6 GB RAM, 128 GB inbuilt","Unisoc T612, Octa Core, 1.8 GHz Processor","6.74 inches, 720 x 1600 px, 90 Hz Display with Water Drop Notch",32 MP Rear & 5 MP Front Camera,Android v14,Dual Sim,1,1,0,1,1,0,0,6,128,Unisoc T612,8.0,1.8,Octa,6.74,720 x 1600,90.0,32.0,5.0,720.0,1600.0,Yes,2,Android,14.0
Vivo Y58 5G,17499,80.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Snapdragon 4 Gen2, Octa Core, 2.2 GHz Processor","6.72 inches, 1080 x 2408 px, 120 Hz Display with Punch Hole",50 MP + 2 MP Dual Rear & 8 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,8,128,Snapdragon 4 Gen2,8.0,2.2,Octa,6.72,1080 x 2408,120.0,50.0,8.0,1080.0,2408.0,Yes,1,Android,14.0
iKall K777 Bar Phone,1899,79.44584647739222,Dual Sim,"32 MB RAM, 32 MB inbuilt",1.3 MHz Processor,"2.8 inches, 240 x 320 px Display",0.3 MP Rear Camera,Symbian v1,Dual Sim,0,0,0,0,0,0,0,0,0,1.3 MHz Processor,,,,2.8,240 x 320,,3.0,,240.0,320.0,Yes,0,Symbian,1.0
itel Super Guru 4G,1754,79.44584647739222,"Dual Sim, 3G, 4G, VoLTE",1000 mAh Battery,"64 MB RAM, 128 MB inbuilt",0.3 MP Rear Camera,Memory Card Supported,,Dual Sim,1,1,0,1,0,0,0,0,0,64 MB RAM,,,,,,,,,,,Yes,0,,14.0
Tecno Pova 6 Pro (12GB RAM + 256GB),21399,86.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","12 GB RAM, 256 GB inbuilt","Dimensity 6080, Octa Core, 2.4 GHz Processor","6.78 inches, 1080 x 2436 px, 120 Hz Display with Punch Hole",108 MP + 2 MP + 0.08 MP Triple Rear & 32 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,1,1,12,256,Dimensity 6080,8.0,2.4,Octa,6.78,1080 x 2436,120.0,108.0,32.0,1080.0,2436.0,Yes,1,Android,14.0
Realme Narzo 70 Pro 5G (8GB RAM + 256GB),19990,82.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi","8 GB RAM, 256 GB inbuilt","Dimensity 7050, Octa Core, 2.6 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",50 MP + 8 MP + 2 MP Triple Rear & 16 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,0,0,8,256,Dimensity 7050,8.0,2.6,Octa,6.67,1080 x 2400,120.0,50.0,16.0,1080.0,2400.0,Yes,2,Android,14.0
Poco X6 Neo (12GB RAM + 256GB),16999,82.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Wi-Fi, IR Blaster","12 GB RAM, 256 GB inbuilt","Dimensity 6080, Octa Core, 2.4 GHz Processor","6.67 inches, 1080 x 2400 px, 120 Hz Display with Punch Hole",108 MP + 2 MP Dual Rear & 16 MP Front Camera,Android v13,Dual Sim,1,1,1,1,1,0,1,12,256,Dimensity 6080,8.0,2.4,Octa,6.67,1080 x 2400,120.0,108.0,16.0,1080.0,2400.0,Yes,1,Android,13.0
Infinix Smart 8 (8GB RAM + 128 GB),8999,74.0,"Dual Sim, 3G, 4G, VoLTE, Wi-Fi","8 GB RAM, 128 GB inbuilt","Helio G36, Octa Core, 2.2 GHz Processor","6.6 inches, 720 x 1612 px, 90 Hz Display with Punch Hole",50 MP Dual Rear & 8 MP Front Camera,Android v13,Dual Sim,1,1,0,1,1,0,0,8,128,Helio G36,8.0,2.2,Octa,6.6,720 x 1612,90.0,50.0,8.0,720.0,1612.0,Yes,2,Android,13.0
Tecno Pova 6 Pro,19399,85.0,"Dual Sim, 3G, 4G, 5G, VoLTE, Vo5G, Wi-Fi, NFC, IR Blaster","8 GB RAM, 256 GB inbuilt","Dimensity 6080, Octa Core, 2.4 GHz Processor","6.78 inches, 1080 x 2436 px, 120 Hz Display with Punch Hole",108 MP + 2 MP + 0.08 MP Triple Rear & 32 MP Front Camera,Android v14,Dual Sim,1,1,1,1,1,1,1,8,256,Dimensity 6080,8.0,2.4,Octa,6.78,1080 x 2436,120.0,108.0,32.0,1080.0,2436.0,Yes,1,Android,14.0
